,number_of_books_read,year
1764,3,2015
1765,3,2015
1766,10,2015
1767,0,2015
1768,3,2015
1769,1,2015
1770,0,2015
1771,2,2015
1772,5,2015
1773,20,2015
1774,4,2015
1775,50,2015
1776,1,2015
1777,12,2015
1778,2,2015
1779,0,2015
1780,7,2015
1781,6,2015
1782,8,2015
1783,1,2015
1784,20,2015
1785,10,2015
1786,12,2015
1787,12,2015
1788,0,2015
1789,60,2015
1790,0,2015
1791,12,2015
1792,0,2015
1793,20,2015
1794,10,2015
1795,15,2015
1796,2,2015
1797,0,2015
1798,1,2015
1799,12,2015
1800,0,2015
1801,7,2015
1802,10,2015
1803,0,2015
1804,4,2015
1805,5,2015
1806,10,2015
1807,0,2015
1808,30,2015
1809,10,2015
1810,0,2015
1811,0,2015
1812,50,2015
1813,5,2015
1814,8,2015
1815,20,2015
1816,0,2015
1817,10,2015
1818,4,2015
1819,5,2015
1820,97,2015
1821,24,2015
1822,2,2015
1823,4,2015
1824,5,2015
1825,3,2015
1826,0,2015
1827,10,2015
1828,2,2015
1829,0,2015
1830,0,2015
1831,0,2015
1832,0,2015
1833,10,2015
1834,5,2015
1835,40,2015
1836,12,2015
1837,4,2015
1838,4,2015
1839,1,2015
1840,1,2015
1841,20,2015
1842,0,2015
1843,12,2015
1844,20,2015
1845,5,2015
1846,15,2015
1847,1,2015
1848,0,2015
1849,2,2015
1850,8,2015
1851,15,2015
1852,0,2015
1853,0,2015
1854,0,2015
1855,4,2015
1856,12,2015
1857,5,2015
1858,3,2015
1859,3,2015
1860,3,2015
1861,10,2015
1862,10,2015
1863,4,2015
1864,5,2015
1865,0,2015
1866,0,2015
1867,0,2015
1868,8,2015
